event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BRA86672,2024-10-25,2024,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Brazil),,Political militia,Unidentified Armed Group (Brazil),,Political militia,Political militia-Political militia,,76,South America,Brazil,Rio de Janeiro,Rio de Janeiro,,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,OTT-RJ,New media,"On 25 October 2024, in Rio de Janeiro - North Zone (Rio de Janeiro), unknown shooters exchanged fire in the Maracana, Meier, Campinho, Cascadura, Penha Circular, Manguinhos, and Bras de Pina neighborhoods. Casualties unknown.",0,,1730180164
SYR91708,2021-06-17,2021,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),,State forces,,,,State forces only,,760,Middle East,Syria,Hama,As Suqaylabiyah,Ziyara,Zayzun,35.6997,36.3778,1,Liveuamap; SHAAM,Local partner-New media,"On 17 June 2021, regime forces shelled Zayzun in Hama using artillery fire. Neither fatalities nor injuries were reported.",0,,1720478784
ITA13583,2022-01-26,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Italy),No Vax,Protesters,,,,Protesters only,,380,Europe,Italy,Valle d'Aosta,Valle d'Aosta,,Aosta,45.7366,7.32,1,Aosta Oggi; Aosta Sera,Subnational,"On 26 January 2022, in the morning, about 50 people, including 'No Vax' and 'No Green Pass' supporters, gathered in Deffeyes square in Aosta (Aosta, Valle d'Aosta) to protest against the country's coronavirus 'green pass' vaccine mandate and denounce vaccination.",0,crowd size=about 50,1730240713
UKR113037,2023-07-22,2023,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Bakhmutska,Ivanivske,48.5722,37.9174,2,Ministry of Defence of Ukraine,Other,"On 22 July 2023, Russian forces engaged in an unsuccessful offensive in the direction of Ivanivske, Donetsk, and were repelled by Ukrainian forces. Casualties unknown.",0,,1715131295
BRA84367,2024-07-31,2024,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Brazil),,Political militia,Unidentified Armed Group (Brazil),,Political militia,Political militia-Political militia,,76,South America,Brazil,Rio de Janeiro,Rio de Janeiro,,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,OTT-RJ,New media,"On 31 July 2024, in Rio de Janeiro - North Zone (Rio de Janeiro), unknown shooters exchanged fire in the Mare Complex, Campinho, Guadalupe, and Alto da Boa Vista neighborhoods. Casualties unknown.",0,,1722903277
SAF16887,2022-06-06,2022,1,Demonstrations,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),Rioters,Police Forces of South Africa (1994-2024),,State forces,State forces-Rioters,,710,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Daily News (South Africa); News24 (South Africa),National,"On 6 June 2022, 50 students barricaded the Mahatma Gandhi Road with stones and burning tires in Durban (eThekwini, KwaZulu-Natal) over poor internet connection at the Seabord residence. Demonstrators threw bottles, rubble, and objects from the top floors of the residence building. Police officers arrested two students for inciting public violence.",0,crowd size=50,1721691292
KGZ1628,2022-07-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Tash-Dobo,42.7252,74.5707,1,24Kg,National,"On 22 July 2022, residents of Tash-Dobo village in Alamudun district of Chui region gathered by the local road carrying empty buckets in protest of drinking water supply shortages in the area demanding that the authorities fix the issue.",0,crowd size=no report,1658857904
COL25644,2024-02-20,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Gulf Clan,,Political militia,Civilians (Colombia),,Civilians,Political militia-Civilians,Civilian targeting,170,South America,Colombia,Antioquia,Segovia,,Segovia,7.0796,-74.7016,2,El Colombiano,Subnational,"On 20 February 2024, in the rural area of Segovia municipality (Antioquia), a man was injured after stepping on a landmine planted by suspected members of the Gulf Clan. There were no fatalities.",0,,1708988308
COL14395,2020-12-05,2020,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Political militia,Civilians (Colombia),,Civilians,Political militia-Civilians,Civilian targeting,170,South America,Colombia,Antioquia,Hispania,,Hispania,5.7992,-75.9073,2,Monitor - OCHA Colombia,Other,"Around 5 December 2020 (as reported), in Hispania municipality, Antioquia, a man was shot dead in La Armenia vereda. Motives of the attack and information on the attackers are unknown. The department is known for the presence of armed groups. 1 fatality.",1,,1724787063
PAK143776,2024-07-29,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Pakistan),JI: Jamaat-e-Islami; Women (Pakistan),Protesters,Police Forces of Pakistan (2022-),,State forces,State forces-Protesters,,586,South Asia,Pakistan,Punjab,Rawalpindi,Rawalpindi,Rawalpindi,33.6007,73.0679,2,Pakistan Observer,National,"On 29 July 2024, police surrounded a convey of buses carrying JI women members traveling to Rawalpindi (Rawalpindi, Punjab) to join the JI protests against inflation and electricity hikes. The police removed the women from their buses and took the buses to the Chung Poice station where they were impounded.",0,crowd size=no report,1722974443
UKR11927,2018-11-06,2018,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2014-2019),,State forces,,,,State forces only,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Vasylivka,48.1716,37.8597,2,OSCE SMM-Ukraine,Other,"On 6 November 2018, the OSCE SMM observed a total of 3 explosions involving unknown weapons near Vasylivka.",0,,1618582406
DEU10202,2022-01-17,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,Protesters,Protesters (Germany),SPD: Social Democratic Party of Germany; Government of Germany (2021-); The Greens (Germany),Protesters,Protesters-Protesters,,276,Europe,Germany,Bayern,Bad Tolz-Wolfratshausen,,Lenggries,47.683,11.5767,1,Merkur,National,"On 17 January 2022, around 450 people took to the streets for a 'walk' in Lenggries to protest against coronavirus-related measures. A counter-demonstration was staged simultaneously, and saw the participation of a Green Party and SPD district councilors.",0,crowd size=at least 450,1643149412
IND29161,2018-04-06,2018,1,Demonstrations,Protests,Protest with intervention,Protesters (India),AIADMK: All India Anna Dravida Munnetra Kazhagam,Protesters,Police Forces of India (2014-),,State forces,State forces-Protesters,,356,South Asia,India,Tamil Nadu,Thiruvarur,Thiruvarur,Thiruvarur,10.7726,79.6368,1,Times of India,National,"On 6 April 2018, in Thiruvarur (Thiruvarur, TN), over 100 cadre from the same party protested and police arrested them while attempting to besiege the income tax office.",0,,1652375187
BRA62207,2022-12-19,2022,2,Political violence,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Political militia,Civilians (Brazil),Former Unidentified Gang (Brazil); Lawyers (Brazil),Civilians,Political militia-Civilians,Civilian targeting,76,South America,Brazil,Minas Gerais,Montes Claros,,Montes Claros,-16.7287,-43.8641,1,Bnews (Brazil); Estado de Minas,Subnational-National,"Around 19 December 2022 (as reported), in Montes Claros (Minas Gerais), a man was killed by unknown individuals and his decomposing body found buried in concrete in the yard of a house in the Independencia neighborhood. The victim had been abducted on 13 December (coded separately) and his body was found with a belt around its neck and signs of head trauma. The victim used to be involved in drug trafficking activities in the past, but had abandoned that lifestyle to become a lawyer. Three suspects were arrested and the police believe the motivation for the murder is related to the loan sharking practiced by the victim. There were no reports on the identity of the perpetrators. 1 fatality.",1,,1730827893
DEU8390,2021-10-15,2021,2,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,Protesters,,,,Protesters only,,276,Europe,Germany,Nordrhein-Westfalen,Stadteregion Aachen,,Aachen,50.7764,6.0857,1,Indymedia (Germany),Other,"Around 15 October 2021 (as reported), people protested in Aachen against the eviction of the Kopi housing project and self-managed social center.",0,crowd size=no report,1635279269
UKR64775,2022-07-22,2022,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Mykolaiv,Bashtanskyi,Snihurivska,Kobzartsi,47.1439,32.7665,2,Ministry of Defence of Ukraine,Other,"On 22 July 2022, Russian forces shelled near Kobzartsi, Mykolaiv. Casualties unknown.",0,,1658857905
SYR75299,2020-02-07,2020,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Political militia,QSD: Syrian Democratic Forces,,Rebel group,Rebel group-Political militia,,760,Middle East,Syria,Al Hasakeh,Al Hasakeh,Markada,Markada,35.759,40.7677,1,SHAAM,National,"On 07 February 2020, an IED planted by an unidentified armed group on the outskirts of Markada in al-Hasakeh detonated targeting a QSD vehicle and killing 1 member.",1,,1720478638
IRN23053,2023-04-30,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Mazandaran,Babol,Central,Babol,36.5513,52.679,1,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),Local partner-Other,"On 30 April 2023, retirees protested in front of the Social Security offices in Babol city (Mazandaran) over poor living conditions and called for pension payments to be equalized.",0,crowd size=no report,1684803186
IRQ17493,2016-09-07,2016,2,Political violence,Battles,Armed clash,Unidentified Armed Group (Iraq),,Political militia,Islamic State in Iraq and the Levant (ISIL),,Rebel group,Rebel group-Political militia,,368,Middle East,Iraq,Al Anbar,Ana,Markaz Ana,Anah,34.2707,41.8123,2,Al Maloomah,National,"As reported on 07/09/2016, an unidentified armed group attacked an IS commander in Anah district of Anbar province, killing him and destroying his vehicle.",1,,1730156792
BGD15595,2014-02-17,2014,1,Demonstrations,Protests,Peaceful protest,Protesters (Bangladesh),GM: Ganajagaran Mancha,Protesters,,,,Protesters only,,50,South Asia,Bangladesh,Dhaka,Dhaka,Shahbagh,Dhaka - Shahbagh,23.7317,90.3959,1,South Asia Terrorism Portal,Other,"On 17 February 2014, Ganajagaran Mancha activists brought out a procession in Dhaka city's Shahbagh (coded to Dhaka - Shahbagh, Dhaka) protesting al-Qaeda 'chief' Ayman al-Zawahiri's statement about Bangladesh.",0,,1725388246
AFG2783,2017-05-20,2017,1,Political violence,Battles,Armed clash,Military Forces of Afghanistan (2014-2021),,State forces,Islamic State Khorasan Province (ISKP),,Rebel group,State forces-Rebel group,,4,Caucasus and Central Asia,Afghanistan,Nangarhar,Chaparhar,,Chaparhar,34.2774,70.3618,2,Afghan Ministry of Defense; Khaama Press; Khost Radio; Liveuamap; TOLO News,Local partner-New media,At least 16 Islamic State militants were killed during Afghan forces' operations in Chaparhar district of Nangarhar province.,16,,1730228603
IDN10868,2018-04-20,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Indonesia),Students (Indonesia),Protesters,,,,Protesters only,,360,Southeast Asia,Indonesia,East Java,Sampang,Banyuates,Banyuates,-6.8967,113.1554,1,Antara News,National,"On 20 April 2018, dozens of students held a peaceful protest at the State Highschool Number: 1 in Banyuates district, Sampang regency, East Java province. They demanded the resignation of the headmaster due to an alleged corruption case.",0,crowd size=dozens,1669137144
KOR38039,2024-10-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (South Korea),DPK: Democratic Party of Korea; Former Government of South Korea (2022-); Government of South Korea (2022-); RKP: Rebuilding Korea Party; Social Democratic Party,Protesters,,,,Protesters only,,410,East Asia,South Korea,Seoul Special City,Seocho,,Seoul City - Seocho,37.4744,127.0304,1,Hankook Ilbo,National,"On 26 October 2024, about 3,000 people (organizer estimate), including the party members, supporters, and lawmakers from the minor opposition Rebuilding Korea Party (RKP), staged a large-scale anti-government protest in front of the Supreme Prosecutors' Office (Seoul City - Seocho), calling for President Yoon Suk-yeol's impeachment. They carried signs that read, 'Now choose between the country and Kim Keon Hee' and chanted, 'Disband the prosecutors' office and impeach Yoon Suk-yeol.' A lawmaker from the Social Democratic Party and a former legislator from the Democratic Party of Korea (DPK) were also present.",0,"crowd size=about 3,000",1730855096
BRA77010,2023-11-17,2023,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Brazil),,Political militia,Unidentified Armed Group (Brazil),,Political militia,Political militia-Political militia,,76,South America,Brazil,Rio de Janeiro,Angra dos Reis,,Angra dos Reis,-23.0067,-44.3181,1,OTT-RJ,New media,"On 17 November 2023, in Angra dos Reis (Rio de Janeiro), unknown shooters exchanged fire near the Gloria neighborhood. Casualties unknown.",0,,1700524096
YEM63355,2021-03-19,2021,1,Political violence,Battles,Armed clash,West Coast Joint Forces,,Political militia,Military Forces of Yemen (2017-) Houthi,,State forces,State forces-Political militia,,887,Middle East,Yemen,Al Hudaydah,Zabid,,Zabid,14.1951,43.3152,1,Al Amaliqah; Yemen Data Project,Local partner-National,"On 19 March 2021, pro-Hadi forces clashed with Houthi forces at Zabid line (Zabid, Al Hudaydah), Al Jabaliyah (At Tuhayat, Al Hudaydah), Al Fazzah (At Tuhayat, Al Hudaydah), resulting in several Houthi fatalities and injuries. Coded as 10 fatalities and split up between three events.",4,,1700527343
COM41,2021-09-25,2021,2,Strategic developments,Strategic developments,Looting/property destruction,Mbeni Communal Militia (Comoros),,Identity militia,Civilians (Comoros),Mnungu Communal Group (Comoros),Civilians,Identity militia-Civilians,,174,Eastern Africa,Comoros,Grande Comore,Hamahamet Mboinkou,Nyuma Msiru,Mbeni,-11.5014,43.3775,2,Habari Za Comores,National,"Property destruction: Around 25 September 2021 (as reported), youth from Mbeni in Mnungu close to Mbeni (Hamahamet Mboinkou, Grande Comore) set two houses on fire in a suspected revenge attack against Mnungu people.",0,,1633377347
SYR67930,2019-09-30,2019,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Political militia,Military Forces of Syria (2000-),,State forces,State forces-Political militia,,760,Middle East,Syria,Hama,Hama,Hama,Hama,35.1337,36.7613,3,Liveuamap; SOHR,Local partner-New media,"On 30 September 2019, 3 regime fighters including a general were killed by a landmine planted by unidentified gunmen in northern Hama province.",1,,1720478555
BRA19506,2020-11-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Brazil),Afro-Brazilian Ethnic Group (Brazil),Protesters,Military Forces of Brazil (2019-2022) Military Police,,State forces,State forces-Protesters,,76,South America,Brazil,Rio Grande do Sul,Santa Maria,,Santa Maria,-29.6842,-53.8069,1,Correio do Povo,Subnational,"On 20 November 2020, in Santa Maria (Rio Grande do Sul), the Black movement gathered in front of a supermarket at the city center to demand justice for the case of a Black man who was beaten up and chocked to death by security agents of a supermarket in Porto Alegre city and to protest against racism. Protesters invaded the supermarket and military police used teargas to disperse the crowd.",0,crowd size=no report,1729632975
UKR8820,2018-08-30,2018,1,Political violence,Battles,Armed clash,Military Forces of Ukraine (2014-2019),,State forces,NAF: United Armed Forces of Novorossiya,,Rebel group,State forces-Rebel group,,804,Europe,Ukraine,Donetsk,Donetskyi,Yasynuvatska,Donetsk Filtration Station,48.1331,37.808,2,OSCE SMM-Ukraine,Other,"On 30 August 2018, the OSCE SMM observed a total of 11 projectiles/explosions involving unknown weapons in both directions of the frontline near Donetsk Filtration Station.",0,,1618586791
TUN4181,2018-11-01,2018,1,Demonstrations,Riots,Violent demonstration,Rioters (Tunisia),Farmers (Tunisia),Rioters,,,,Rioters only,,788,Northern Africa,Tunisia,Sousse,Kondar,,Kondar,35.9347,10.2871,2,Tunisie Numerique,National,"On 1 November 2018, farmers in the area of Kondar barricaded the road between Enfida and Kairouan and burned tires in protest against deaths of sheep caused by the bluetongue disease and inaction by regional veterinary authorities.",0,,1652375164
BLR3825,2022-11-16,2022,1,Strategic developments,Strategic developments,Looting/property destruction,Police Forces of Belarus (1994-) Border Guards,,State forces,Military Forces of Ukraine (2019-) Air Force,,External/Other forces,State forces-External/Other forces,,112,Europe,Belarus,Brest,Kobrinskiy,,Kobryn,52.2138,24.3564,2,Telegram,New media,"Interception: On 16 November 2022, the Belarusian Border Committee reported having downed a (presumably Ukrainian) surveillance drone in the Kobrinskiy district. (coded to Kobryn)",0,,1676403728
HND3291,2021-02-02,2021,1,Political violence,Violence against civilians,Attack,B-18: Barrio-18,,Political militia,Civilians (Honduras),Taxi/Bus Drivers (Honduras),Civilians,Political militia-Civilians,Civilian targeting,340,Central America,Honduras,Francisco Morazan,Distrito Central,Distrito Central,Comayaguela,14.1059,-87.2328,1,El Heraldo (Honduras); HCH; La Prensa (Honduras),National,"On 2 February 2021, in Comayaguela, Francisco Morazan, two armed men on a moving motorbike shot and killed a taxi driver in Colonia Tiloarque (drive-by). The next day, an alleged B-18 gang member was arrested in relation to the killing.",1,,1727819924
SLV2848,2021-08-24,2021,1,Political violence,Battles,Armed clash,Unidentified Gang (El Salvador),,Political militia,Police Forces of El Salvador (2019-),,State forces,State forces-Political militia,,222,Central America,El Salvador,Sonsonate,Acajutla,,San Julian,13.6136,-89.7925,1,La Prensa Grafica,National,"On 24 August 2021, in San Julian, Acajutla, Sonsonate, there was an armed clash between police officers and gang members in the Guadalupe sector. No details of the armed clash are provided. The source did not report injuries or fatalities.",0,,1630963286
KOR32047,2023-10-10,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (South Korea),,Protesters,,,,Protesters only,,410,East Asia,South Korea,Gwangju,Seo,,Gwangju - Seo,35.1522,126.8874,1,YNA,National,"On 10 October 2023, partner companies of WINIA held a press conference with banners and picketed in front of the Gwangju Metropolitan City Hall (Gwangju - Seo). They urged the authorities for instant financial support of WINIA's partner companies due to WINIA's non-payment for goods received and in crisis for bankruptcy.",0,crowd size=no report,1697584398
EGY8012,2016-12-08,2016,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Women (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Cairo,Al Waily,,Cairo,30.0771,31.2859,1,All Africa,International,"A number of Egyptian women took to the streets of down town Cairo on 8 December, wearing dresses depicting the fashion of the sixties and seventies, to protest harassment.",0,,1618529387
BOL2956,2022-03-19,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Bolivia),Cochala Youth Resistance,Protesters,,,,Protesters only,,68,South America,Bolivia,Chuquisaca,Oropeza,Sucre,Sucre,-19.0333,-65.2627,1,Correo del Sur,Subnational,"On 19 March 2022, in Sucre (Chuquisaca), members of the Cochala Youth Resistance and the three daughters of one of the leaders imprisoned marched through the city towards San Roque prison to demand justice for the man and demand his release. The man was arrested for trafficking controlled substances.",0,crowd size=no report,1713830546
SYR112074,2023-04-03,2023,1,Strategic developments,Strategic developments,Change to group/activity,Militia (Pro-Iran),,Political militia,,,,Political militia only,,760,Middle East,Syria,Deir ez Zor,Al Mayadin,Al Mayadin,Al Mayadin,35.0248,40.428,2,SOHR,Other,"Movement of forces: On 3 April 2023, pro-Iran militias sent military reinforcements to Al Mayadin area in Deir ez Zor province.",0,,1721691357
NIG37083,2024-05-28,2024,2,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Rebel group,Civilian JTF: Civilian Joint Task Force,,Political militia,Rebel group-Political militia,,566,Western Africa,Nigeria,Borno,Damboa,,Damboa,11.156,12.7576,2,Twitter,New media,"Around 28 May 2024 (as reported), an IED suspected to have been planted by Boko Haram (JAS) exploded and killed a CJTF member after stepping on the landmine in Damboa LGA, coded to Damboa (Borno). The device was triggered while on patrol along Maiduguri-Damboa Road, injuring four others.",1,,1719274231
KEN12591,2023-09-27,2023,1,Strategic developments,Strategic developments,Agreement,Maasai Ethnic Militia (Kenya),Pastoralists (Kenya),Identity militia,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),Identity militia,Identity militia-Identity militia,,404,Eastern Africa,Kenya,Laikipia,Laikipia East,Thingithu,Nanyuki,0.0167,37.0667,1,Citizen (Kenya); Kenya Standard; KTN News (Kenya),National,"On 27 September 2023, Maasai and Samburu community representatives living in Samburu, Isiolo and Laikipia counties met in Nanyuki (Laikipia East, Laikipia) and agreed to co-exist peacefully, following recent conflicts orchestrated by pastoral militia.",0,,1699385307
GRC5226,2024-02-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Greece),Farmers (Greece),Protesters,,,,Protesters only,,300,Europe,Greece,Thessaly-Central Greece,Thessaly,Larisa,Larissa,39.6369,22.4176,2,I Avgi; To Pontiki,National,"On 26 February 2024, farmers from the Platykambos blockade, protesting over rising production costs, among other issues, protested at the customs office of Larissa, demanding solutions to their problems, before participating in a motorcade to Larissa city hall, where they lined-up their tractors in the square honking their horns. They returned to Platykambos the following day after they set fire to bales of hay and tires.",0,crowd size=no report,1709668839
MLI30734,2023-08-06,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,State forces,Civilians (Mali),Women (Mali),Civilians,State forces-Civilians,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Soumpi,Kokonto,15.8216,-4.5141,2,Twitter; Whatsapp,New media,"On 6 August 2023, FAMa and Wagner forces reached a farming hamlet named Madou Dabai (or Hondou-Thie), 5 km south of the village Kokonto (Niafunke, Tombouctou). The convoy opened fire, killing one man and three women. One of the women had a baby strapped to her back, who survived the gunfire.",4,,1693859501
BOT58,2019-07-17,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Botswana),,Protesters,,,,Protesters only,,72,Southern Africa,Botswana,Central,Selebi-Phikwe,,Selebi-Phikwe,-21.979,27.843,1,GABZ FM,National,17 July. Residents from Selebi Phikwe held a peaceful demonstration to put pressure on the District Commissioner to deal with the earth tremors in the town that is being caused by underground shifts at the now closed BCL mine. .,0,crowd size=no report,1618526746
PSE40314,2023-11-04,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,1,Palestine News and Information Agency; Palestinian Ministry of Health,Other-National,"On 4 November 2023, Israeli military airplanes carried out airstrikes in Al Qararah (Khan Yunis, Gaza Strip) leaving an unspecified number of civilians killed. [Palestinian Ministry of Health reported 11590 fatalities between 7 October - 10 November 2023. 479 fatalities not attributed to specific events split across 32 events between 4-10 November. 15 fatalities coded to this event.]",15,,1727730465
FRA34706,2024-07-07,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (France),Antifa; NFP: New Popular Front,Rioters,Rioters (France),Police Forces of France (2017-),Rioters,Rioters-Rioters,,250,Europe,France,Auvergne-Rhone-Alpes,Rhone,Lyon,Lyon,45.764,4.8357,1,Actu,National,"On 7 July 2024, NFP supporters demonstrated and chanted antifascist slogans in Lyon (Auvergne-Rhone-Alpes). Some participants damaged street furniture, as well as a kiosk and a McDonald's restaurant. Towards the end of the demonstration, far-right (who had not taken part in the demonstration) and antifascist (who had taken part in the demonstration) activists clashed with each other and threw objects at police forces, who used tear gas to disperse them. The event was part of a nationwide wave of demonstrations against far-right ideology and in support of an open society, and took place after the 'New Popular Front' (NFP) coalition came first and the RN coalition came third in the second round of the snap legislative elections in France on 7 July 2024.",0,crowd size=no report,1731445388
COL24369,2023-11-15,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,FARC Dissident - 33rd Front: Revolutionary Armed Forces of Colombia Dissident Faction (33rd Front),,Rebel group,Civilians (Colombia),Former Government of Colombia (2022-); AV: Green Alliance; UP: Patriotic Union,Civilians,Rebel group-Civilians,Civilian targeting,170,South America,Colombia,Norte de Santander,Tibu,,Tibu,8.6395,-72.7359,2,El Colombiano; El Universal (Colombia); La Opinion (Colombia); RCN Radio,Subnational-National,"On 15 November 2023, between El Tarra and Tibu municipalities (coded to Tibu, Norte de Santander), members of the 33rd Front of the FARC kidnapped the former mayor of San Calixto municipality (AV; UP). The victim had received threats by armed groups in the past. FARC's 33rd Front claimed responsibility for the abduction. The victim was released on 20 December to a humanitarian mission.",0,local administrators,1704766930
DRC19817,2020-12-19,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Democratic Republic of Congo),LUCHA: Fight for Change,Protesters,Police Forces of the Democratic Republic of Congo (2019-),,State forces,State forces-Protesters,,180,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Beni,Beni,Beni,0.4966,29.4654,1,Twitter; Actualite; ProtectDefenders.eu; Radio Okapi,Local partner-Other,"On 19 December 2020, Lucha activists marched in Beni town (Beni, Nord-Kivu) against the renewal of the MONUSCO's mandate and to denounce its incapacity to provide protection and stabilization in the region for over 20 years. The police intervened when the group was approaching the MONUSCO base, using teargas to disperse the demonstrators and arresting more than 10 activists. The next month, 8-10 of the activists were sentenced to 10 years of prison under unclear charges, but were acquitted after pressure from some politicians and human rights organizations.",0,crowd size=no report,1631568158
MEX93688,2024-10-03,2024,2,Political violence,Violence against civilians,Attack,Santa Rosa de Lima Cartel,,Political militia,Civilians (Mexico),,Civilians,Political militia-Civilians,Civilian targeting,484,North America,Mexico,Guanajuato,Valle de Santiago,,Valle de Santiago,20.3913,-101.1814,2,Borderland Beat; La Silla Rota,National,"Around 3 October 2024 (as reported), close to Valle de Santiago, Guanajuato, a person was killed and the body was found on the free highway on top of a banner with a message accursing the victims of supporting the CJNG. The perpetrators are suspected to be members of the Santa Rosa de Lima Cartel. 1 fatality.",1,,1729632791
SOM7946,2011-10-10,2011,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Afgooye,2.15,45.116,1,Undisclosed Source,Local partner-Other,"Movement of forces: Al Shabaab reinforcements have been reported arriving from Bay, Lower and Middle Juba Regions in the Afgooye/Ceelasha area. The newly arrived militias were reported setting-up defensive positions between Ceelasha and Afgooye town. Traffic was temporarily suspended by AS militias on 10/10 to allow for the digging of trenches.",0,,1571260159
TUR35525,2024-05-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),,Protesters,,,,Protesters only,,792,Middle East,Turkey,Hakkari,Hakkari,,Kavakli,37.5135,43.3845,1,Rudaw,Regional,"On 1 May 2024, protesters continued to demonstrate near the mine site in rural Kavakli neighborhood in Hakkari, to demand the shutdown of the mining operations that they claim have devastated their environment and disrupted their traditional way of life.",0,crowd size=no report,1715049811
SYR18889,2018-01-12,2018,1,Political violence,Explosions/Remote violence,Air/drone strike,Allied Syrian and/or Russian Forces,,State forces,,,,State forces only,,760,Middle East,Syria,Idleb,Al Mara,Maarrat An Numan,Ma'arrat An Nu'man,35.6476,36.6766,1,SOHR,Other,Syrian or Russian warplanes bombed the town of Ma'arrat An Nu'man with neither injuries nor fatalities reported.,0,,1720478276
DRC10937,2017-03-21,2017,1,Demonstrations,Riots,Violent demonstration,Rioters (Democratic Republic of Congo),,Rioters,,,,Rioters only,,180,Middle Africa,Democratic Republic of Congo,Haut-Katanga,Lubumbashi,,Lubumbashi,-11.6596,27.4741,1,Le Potentiel,National,2 vehicles carrying corn were burned in the Katuba commune of Lubumbashi by protesters angry over rising maize prices in the city.,0,,1618597662
YEM76377,2022-09-11,2022,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Yemen),,Political militia,Civilians (Yemen),,Civilians,Political militia-Civilians,,887,Middle East,Yemen,Taizz,Salh,,Taizz - Al Malaib,13.5763,44.0317,1,Twitter; Taiz Today,New media-Subnational,"Looting: On 11 September 2022, unidentified gunmen raided and took over Salah Ad Din school in Taizz - Al Malaib (Salh) after expelling the students and teachers from it. This took place despite an earlier agreement between the school administration and the local authorities to continue to use the school until the middle of the school year after a similar incident took place in August (coded as a separate event).",0,,1705970787
